Timesteps,Feedbacks,Retro-Feedbacks
377,4,6
349,4,7
404,5,5
105,1,1
341,1,5
822,13,13
398,3,10
736,7,10
339,2,9
1339,24,21
250,1,4
1739,30,32
399,5,13
1861,78,38
319,7,9
1149,60,4
230,2,3
250,5,4
313,3,4
563,29,16
366,0,0
