Timesteps,Feedbacks,Retro-Feedbacks
209,3,2
209,1,3
343,5,5
483,4,11
256,1,2
331,1,3
570,3,19
1046,16,17
1318,8,18
368,8,7
324,2,4
405,3,6
818,8,9
423,1,7
1637,13,27
772,4,19
356,7,4
1410,14,26
2372,26,7
1732,11,3
